,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,MKT_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_SEQ_ID,DEST_AIRPORT_SEQ_ID,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
5577,9,29,4,19805,2002,1042302,1288903,627,619.0,-8.0,719,709.0,-10.0,172.0,170.0,1090.0,0.0,0.0,0.0,0.0,0.0
5578,10,5,3,19790,2509,1042302,1143302,1126,1117.0,-9.0,1520,1509.0,-11.0,174.0,172.0,1149.0,0.0,0.0,0.0,0.0,0.0
5579,5,10,2,19393,1863,1042302,1069302,1415,1414.0,-1.0,1620,1612.0,-8.0,125.0,118.0,756.0,0.0,0.0,0.0,0.0,0.0
5580,3,27,7,19790,1165,1042302,1289208,620,629.0,9.0,750,737.0,-13.0,210.0,188.0,1242.0,0.0,0.0,0.0,0.0,0.0
5581,9,13,2,19805,1855,1042302,1484306,1015,1008.0,-7.0,1555,1545.0,-10.0,280.0,277.0,2146.0,0.0,0.0,0.0,0.0,0.0
5582,2,24,4,19977,736,1042302,1477104,1301,1344.0,43.0,1505,1547.0,42.0,244.0,243.0,1504.0,4.0,0.0,0.0,0.0,38.0
5583,2,17,4,19393,1093,1042302,1219102,1945,2005.0,20.0,2040,2059.0,19.0,55.0,54.0,148.0,19.0,0.0,0.0,0.0,0.0
5584,12,10,6,19790,2126,1042302,1039707,1736,1730.0,-6.0,2047,2041.0,-6.0,131.0,131.0,813.0,0.0,0.0,0.0,0.0,0.0
5585,1,22,6,19393,1447,1042302,1129202,655,654.0,-1.0,815,804.0,-11.0,140.0,130.0,775.0,0.0,0.0,0.0,0.0,0.0
5586,6,7,2,19790,2078,1042302,1039707,1235,1230.0,-5.0,1555,1538.0,-17.0,140.0,128.0,813.0,0.0,0.0,0.0,0.0,0.0
5587,3,9,3,19393,2332,1042302,1320402,1345,1347.0,2.0,1710,1715.0,5.0,145.0,148.0,994.0,0.0,0.0,0.0,0.0,0.0
5588,5,5,4,19393,2369,1042302,1467903,1740,1827.0,47.0,1840,1957.0,77.0,180.0,210.0,1164.0,0.0,9.0,30.0,0.0,38.0
5589,10,30,7,19805,1086,1042302,1289208,2032,2021.0,-11.0,2146,2144.0,-2.0,194.0,203.0,1242.0,0.0,0.0,0.0,0.0,0.0
5590,12,16,5,19805,4128,1042302,1154005,1705,1734.0,29.0,1745,1819.0,34.0,100.0,105.0,528.0,2.0,0.0,5.0,0.0,27.0
5591,4,19,2,19805,1760,1042302,1410702,1830,1827.0,-3.0,1859,1852.0,-7.0,149.0,145.0,872.0,0.0,0.0,0.0,0.0,0.0
5592,4,26,2,19930,444,1042302,1467903,730,719.0,-11.0,840,817.0,-23.0,190.0,178.0,1164.0,0.0,0.0,0.0,0.0,0.0
5593,11,11,5,19393,1423,1042302,1289208,1625,1819.0,114.0,1750,1938.0,108.0,205.0,199.0,1242.0,9.0,0.0,0.0,0.0,99.0
5594,8,2,2,19977,658,1042302,1161802,1256,1256.0,0.0,1750,1759.0,9.0,234.0,243.0,1504.0,0.0,0.0,0.0,0.0,0.0
5595,2,21,1,19393,1239,1042302,1129202,1905,2005.0,60.0,2020,2106.0,46.0,135.0,121.0,775.0,5.0,0.0,0.0,0.0,41.0
5596,7,9,6,19393,563,1042302,1069302,645,653.0,8.0,855,851.0,-4.0,130.0,118.0,756.0,0.0,0.0,0.0,0.0,0.0
5597,7,30,6,19393,3886,1042302,1233904,1455,1518.0,23.0,1820,1838.0,18.0,145.0,140.0,919.0,18.0,0.0,0.0,0.0,0.0
5598,11,14,1,19790,746,1042302,1143302,1825,1845.0,20.0,2220,2221.0,1.0,175.0,156.0,1149.0,0.0,0.0,0.0,0.0,0.0
5599,5,1,7,19930,444,1042302,1467903,730,728.0,-2.0,840,834.0,-6.0,190.0,186.0,1164.0,0.0,0.0,0.0,0.0,0.0
5600,5,13,5,19977,2196,1042302,1226603,956,1029.0,33.0,1058,1118.0,20.0,62.0,49.0,140.0,1.0,0.0,0.0,0.0,19.0
5601,10,4,2,19393,2605,1042302,1169706,635,634.0,-1.0,1015,958.0,-17.0,160.0,144.0,1105.0,0.0,0.0,0.0,0.0,0.0
5602,10,6,4,19930,427,1042302,1474703,1454,1457.0,3.0,1736,1726.0,-10.0,282.0,269.0,1770.0,0.0,0.0,0.0,0.0,0.0
5603,4,19,2,19393,2343,1042302,1069302,2200,2155.0,-5.0,5,2347.0,-18.0,125.0,112.0,756.0,0.0,0.0,0.0,0.0,0.0
5604,4,9,6,19805,1997,1042302,1129806,910,901.0,-9.0,1018,1007.0,-11.0,68.0,66.0,190.0,0.0,0.0,0.0,0.0,0.0
5605,4,27,3,19393,1277,1042302,1295407,1035,1034.0,-1.0,1155,1135.0,-20.0,200.0,181.0,1226.0,0.0,0.0,0.0,0.0,0.0
5606,3,21,1,19805,1662,1042302,1330303,2009,11.0,242.0,2341,358.0,257.0,152.0,167.0,1103.0,0.0,197.0,15.0,0.0,45.0
5607,1,11,2,19393,4710,1042302,1323202,1130,1128.0,-2.0,1400,1354.0,-6.0,150.0,146.0,972.0,0.0,0.0,0.0,0.0,0.0
5608,1,3,1,19393,506,1042302,1233904,1530,1723.0,113.0,1850,2038.0,108.0,140.0,135.0,919.0,12.0,0.0,0.0,0.0,96.0
5609,10,23,7,19805,1413,1042302,1072102,841,837.0,-4.0,1339,1328.0,-11.0,238.0,231.0,1698.0,0.0,0.0,0.0,0.0,0.0
5610,7,21,4,19930,222,1042302,1467903,1350,1401.0,11.0,1439,1440.0,1.0,169.0,159.0,1164.0,0.0,0.0,0.0,0.0,0.0
5611,7,26,2,19805,1632,1042302,1129806,630,623.0,-7.0,736,724.0,-12.0,66.0,61.0,190.0,0.0,0.0,0.0,0.0,0.0
5612,7,20,3,19805,533,1042302,1289208,1345,1343.0,-2.0,1445,1447.0,2.0,180.0,184.0,1242.0,0.0,0.0,0.0,0.0,0.0
5613,8,7,7,19393,464,1042302,1039707,2105,2203.0,58.0,20,107.0,47.0,135.0,124.0,813.0,2.0,0.0,0.0,0.0,45.0
5614,12,4,7,19393,576,1042302,1319801,1155,1146.0,-9.0,1345,1333.0,-12.0,110.0,107.0,650.0,0.0,0.0,0.0,0.0,0.0
5615,8,4,4,19393,1129,1042302,1483106,1415,1435.0,20.0,1540,1541.0,1.0,205.0,186.0,1476.0,0.0,0.0,0.0,0.0,0.0
5616,5,15,7,19805,434,1042302,1105703,1755,1824.0,29.0,2140,2207.0,27.0,165.0,163.0,1032.0,3.0,0.0,0.0,0.0,24.0
5617,8,13,6,19805,1070,1042302,1105703,942,937.0,-5.0,1329,1327.0,-2.0,167.0,170.0,1032.0,0.0,0.0,0.0,0.0,0.0
5618,9,26,1,19805,2214,1042302,1129806,1745,1740.0,-5.0,1852,1906.0,14.0,67.0,86.0,190.0,0.0,0.0,0.0,0.0,0.0
5619,6,11,6,19930,3306,1042302,1289208,1405,1410.0,5.0,1525,1510.0,-15.0,200.0,180.0,1242.0,0.0,0.0,0.0,0.0,0.0
5620,5,10,2,19977,260,1042302,1393007,1637,1631.0,-6.0,1921,1910.0,-11.0,164.0,159.0,977.0,0.0,0.0,0.0,0.0,0.0
5621,7,6,3,19393,2319,1042302,1289208,600,557.0,-3.0,705,650.0,-15.0,185.0,173.0,1242.0,0.0,0.0,0.0,0.0,0.0
5622,6,30,4,19805,1201,1042302,1530402,805,757.0,-8.0,1134,1124.0,-10.0,149.0,147.0,928.0,0.0,0.0,0.0,0.0,0.0
5623,9,10,6,19790,973,1042302,1072102,855,844.0,-11.0,1358,1339.0,-19.0,243.0,235.0,1698.0,0.0,0.0,0.0,0.0,0.0
5624,8,4,4,19393,2165,1042302,1295407,1010,1050.0,40.0,1105,1130.0,25.0,175.0,160.0,1226.0,0.0,0.0,0.0,0.0,25.0
5625,5,30,1,19805,3653,1042302,1154005,930,927.0,-3.0,1008,1005.0,-3.0,98.0,98.0,528.0,0.0,0.0,0.0,0.0,0.0
5626,1,5,3,19790,2594,1042302,1348702,1206,1203.0,-3.0,1445,1438.0,-7.0,159.0,155.0,1042.0,0.0,0.0,0.0,0.0,0.0
5627,1,4,2,19790,1748,1042302,1143302,526,520.0,-6.0,919,902.0,-17.0,173.0,162.0,1149.0,0.0,0.0,0.0,0.0,0.0
5628,7,19,2,20409,1138,1042302,1072102,1145,1142.0,-3.0,1645,1644.0,-1.0,240.0,242.0,1698.0,0.0,0.0,0.0,0.0,0.0
5629,11,10,4,19393,2327,1042302,1219103,1900,1900.0,0.0,2000,1943.0,-17.0,60.0,43.0,148.0,0.0,0.0,0.0,0.0,0.0
5630,5,26,4,19805,533,1042302,1289208,1335,1333.0,-2.0,1455,1436.0,-19.0,200.0,183.0,1242.0,0.0,0.0,0.0,0.0,0.0
5631,12,19,1,19930,1166,1042302,1405702,1650,1656.0,6.0,1915,1931.0,16.0,265.0,275.0,1715.0,6.0,0.0,10.0,0.0,0.0
5632,8,7,7,19977,6150,1042302,1226603,1754,1800.0,6.0,1859,1853.0,-6.0,65.0,53.0,140.0,0.0,0.0,0.0,0.0,0.0
5633,4,5,2,19805,1095,1042302,1320402,1246,1242.0,-4.0,1623,1607.0,-16.0,157.0,145.0,994.0,0.0,0.0,0.0,0.0,0.0
5634,2,13,7,19393,1249,1042302,1039707,1740,1739.0,-1.0,2045,2043.0,-2.0,125.0,124.0,813.0,0.0,0.0,0.0,0.0,0.0
5635,12,30,5,20368,541,1042302,1198603,1913,1933.0,20.0,2255,2300.0,5.0,162.0,147.0,1103.0,0.0,0.0,0.0,0.0,0.0
5636,7,7,4,19805,2287,1042302,1247805,736,730.0,-6.0,1230,1225.0,-5.0,234.0,235.0,1521.0,0.0,0.0,0.0,0.0,0.0
5637,4,5,2,19393,2343,1042302,1069302,2200,2212.0,12.0,5,4.0,-1.0,125.0,112.0,756.0,0.0,0.0,0.0,0.0,0.0
5638,11,2,3,19393,899,1042302,1219103,1745,1741.0,-4.0,1845,1830.0,-15.0,60.0,49.0,148.0,0.0,0.0,0.0,0.0,0.0
5639,3,6,7,19393,1239,1042302,1129202,1905,1942.0,37.0,2020,2051.0,31.0,135.0,129.0,775.0,2.0,0.0,0.0,0.0,29.0
5640,12,7,3,19805,4076,1042302,1319801,720,710.0,-10.0,913,848.0,-25.0,113.0,98.0,650.0,0.0,0.0,0.0,0.0,0.0
5641,10,26,3,19790,1166,1042302,1247805,705,657.0,-8.0,1149,1122.0,-27.0,224.0,205.0,1521.0,0.0,0.0,0.0,0.0,0.0
5642,1,6,4,19393,3728,1042302,1349505,1820,1909.0,49.0,1940,2024.0,44.0,80.0,75.0,444.0,26.0,0.0,0.0,0.0,18.0
5643,11,4,5,19393,1020,1042302,1295407,1145,1148.0,3.0,1250,1258.0,8.0,185.0,190.0,1226.0,0.0,0.0,0.0,0.0,0.0
5644,11,15,2,19930,1459,1042302,1289208,1425,1428.0,3.0,1547,1549.0,2.0,202.0,201.0,1242.0,0.0,0.0,0.0,0.0,0.0
5645,2,14,1,19930,1254,1042302,1405702,1710,1712.0,2.0,1935,1936.0,1.0,265.0,264.0,1715.0,0.0,0.0,0.0,0.0,0.0
5646,2,26,6,19393,1760,1042302,1530402,710,708.0,-2.0,1020,1015.0,-5.0,130.0,127.0,928.0,0.0,0.0,0.0,0.0,0.0
5647,7,13,3,19805,2024,1042302,1330303,708,706.0,-2.0,1105,1049.0,-16.0,177.0,163.0,1103.0,0.0,0.0,0.0,0.0,0.0
5648,5,5,4,19805,986,1042302,1530402,1635,1632.0,-3.0,1955,1955.0,0.0,140.0,143.0,928.0,0.0,0.0,0.0,0.0,0.0
5649,12,18,7,19930,535,1042302,1477104,1855,1905.0,10.0,2053,2055.0,2.0,238.0,230.0,1504.0,0.0,0.0,0.0,0.0,0.0
5650,12,14,3,19977,284,1042302,1161802,700,703.0,3.0,1135,1117.0,-18.0,215.0,194.0,1504.0,0.0,0.0,0.0,0.0,0.0
5651,7,26,2,19805,3653,1042302,1154005,937,932.0,-5.0,1009,953.0,-16.0,92.0,81.0,528.0,0.0,0.0,0.0,0.0,0.0
